轮次,场序,日期,星期,开球时间,主队,客队,体育场,主队得分,客队得分
第12轮,67,9月20日,六,15:00,镇江市,无锡市,镇江市体育会展中心体育场,,
第12轮,68,9月20日,六,15:00,盐城市,连云港市,盐城奥体中心体育场,,
第12轮,69,9月20日,六,15:00,宿迁市,扬州市,宿迁市奥体中心体育场,,
第12轮,70,9月20日,六,15:00,徐州市,苏州市,徐州奥体中心体育场,,
第12轮,71,9月20日,六,15:00,泰州市,南京市,泰州市体育公园体育场,,
第12轮,72,9月20日,六,15:00,南通市,淮安市,南通足球训练中心海门基地,,
第13轮,73,9月27日,六,15:00,连云港市,镇江市,连云港市体育中心体育场,,
第13轮,74,9月27日,六,15:00,淮安市,徐州市,淮安市体育中心体育场,,
第13轮,75,9月27日,六,15:00,扬州市,盐城市,扬州体育公园体育场,,
第13轮,76,9月27日,六,15:00,苏州市,常州市,昆山奥体中心体育场,,
第13轮,77,9月27日,六,15:00,无锡市,南通市,宜兴市体育中心体育场,,
第13轮,78,9月27日,六,15:00,南京市,宿迁市,江苏省五台山体育中心体育场,,
